year,pid,age,sex,marstat,educ,inctot,k6sum,outcome,label_outcome,label_sex,label_education
2021,101,63,2,10,301,40000,0,0,No,Female,"Some college, no degree"
2021,102,64,1,10,301,60000,3,0,No,Male,"Some college, no degree"
2021,101,33,2,50,504,25600,1,0,No,Female,Other degree
2021,101,84,2,50,201,17000,9,0,No,Female,High school graduate
2021,102,52,2,30,201,35041,2,0,No,Female,High school graduate
2021,103,26,1,50,301,41903,0,0,No,Male,"Some college, no degree"
2021,102,59,1,10,504,41132,1,0,No,Male,Other degree
2021,101,55,2,10,301,13645,2,0,No,Female,"Some college, no degree"
2021,101,49,2,30,115,8000,0,0,No,Female,Grade 11
2021,101,64,1,50,400,152030,2,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,44,2,50,400,30000,8,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,103,36,2,30,301,40033,8,0,No,Female,"Some college, no degree"
2021,101,73,1,30,201,12480,0,0,No,Male,High school graduate
2021,102,75,2,10,301,57165,0,0,No,Female,"Some college, no degree"
2021,101,79,2,30,501,51000,1,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,101,57,2,10,113,22880,0,0,No,Female,Grade 9
2021,102,63,1,10,114,31200,0,0,No,Male,Grade 10
2021,101,39,2,50,400,117279,3,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,85,1,10,400,50255,5,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,85,2,10,400,26255,0,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,80,2,20,202,9150,3,0,No,Female,GED or equivalent
2021,101,77,2,10,115,16496,0,0,No,Female,Grade 11
2021,102,74,1,10,102,16496,0,0,No,Male,Never attended/kindergarten only
2021,101,44,1,30,504,50000,2,0,No,Male,Other degree
2021,101,57,2,20,501,81981,1,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,101,65,1,30,201,50012,0,0,No,Male,High school graduate
2021,101,59,2,30,201,23725,2,0,No,Female,High school graduate
2021,101,58,1,10,503,130798,1,0,No,Male,"Doctoral degree (PhD, EdD)"
2021,103,26,1,50,301,55000,1,0,No,Male,"Some college, no degree"
2021,104,23,1,50,201,21000,2,0,No,Male,High school graduate
2021,102,40,1,10,501,78000,2,0,No,Male,"Master's degree (MA,MS,Med,MBA)"
2021,102,70,1,10,301,85807,0,0,No,Male,"Some college, no degree"
2021,103,36,1,50,116,12108,1,0,No,Male,"12th grade, no diploma"
2021,101,74,2,10,201,52966,5,0,No,Female,High school graduate
2021,101,50,1,30,201,50000,0,0,No,Male,High school graduate
2021,101,62,1,10,301,9557,0,0,No,Male,"Some college, no degree"
2021,102,63,2,10,400,29639,23,1,Yes,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,50,2,30,301,2200,15,1,Yes,Female,"Some college, no degree"
2021,102,20,1,50,114,21600,12,0,No,Male,Grade 10
2021,101,43,1,50,201,34000,0,0,No,Male,High school graduate
2021,101,67,2,30,201,54033,2,0,No,Female,High school graduate
2021,101,54,2,50,301,58868,0,0,No,Female,"Some college, no degree"
2021,101,54,1,10,501,120650,7,0,No,Male,"Master's degree (MA,MS,Med,MBA)"
2021,102,21,1,50,201,2255,1,0,No,Male,High school graduate
2021,103,51,2,10,301,650,12,0,No,Female,"Some college, no degree"
2021,101,85,2,20,301,29918,5,0,No,Female,"Some college, no degree"
2021,101,29,2,50,116,13000,1,0,No,Female,"12th grade, no diploma"
2021,101,55,2,50,301,20800,2,0,No,Female,"Some college, no degree"
2021,101,57,2,10,504,43520,2,0,No,Female,Other degree
2021,102,59,1,10,201,66504,0,0,No,Male,High school graduate
2021,103,30,2,50,400,28080,0,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,104,26,1,50,201,39520,0,0,No,Male,High school graduate
2021,101,84,1,10,116,12374,6,0,No,Male,"12th grade, no diploma"
2021,102,76,2,10,202,12374,6,0,No,Female,GED or equivalent
2021,101,25,2,50,301,24000,4,0,No,Female,"Some college, no degree"
2021,102,61,2,10,400,110,0,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,103,38,1,30,400,53000,2,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,42,2,30,400,56109,8,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,50,1,30,201,41600,0,0,No,Male,High school graduate
2021,101,58,1,30,400,195438,1,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,68,1,30,115,9600,5,0,No,Male,Grade 11
